   [38;2;150;108;75m-[38;2;150;108;75m\ 
Multiple apps found matching input criteria. Please refine the input.
Name                                  Id                                  Version
Lightscreen                           ChristianKaiser.Lightscreen         2.4
MiKTeX                                ChristianSchenk.MiKTeX              2.9.7442
Circuit Diagram                       CircuitDiagram.CircuitDiagram       3.1
CiscoWebexMeetings                    Cisco.CiscoWebexMeetings            40.4.10.8
ClamWin Free Antivirus                ClamWin.ClamWin                     0.99.4
CloudApp                              CloudApp.CloudApp                   5.7.0
LICEcap                               Cockos.LICEcap                      1.28
CodeLite IDE                          CodeLite.CodeLite                   14.0.0
Code::Blocks                          Codeblocks.Codeblocks               20.03
K-Lite Codec Pack Mega                CodecGuide.K-LiteCodecPackMega      15.4.8
K-Lite Codec Pack Standard            CodecGuide.K-LiteCodecPackStandard  15.5.0
Borderless Gaming                     Codeusa.BorderlessGaming            9.5.6
Termite                               Compuphase.Termite                  3.4
Utility                               Concept2.Utility                    7.09.00
C-Dogs SDL                            CongusBongus.CDogsSDL               0.8.0
CopyTranslator                        CopyTranslator.CopyTranslator       9.1.0
WinZip                                Corel.WinZip                        24.0.14033
iCUE                                  Corsair.iCUE                        3.30.89
Couchbase Server Community            Couchbase.ServerCommunity           6.5.1
CozyDrive                             CozyCloud.CozyDrive                 3.20.0
Cppcheck                              Cppcheck.Cppcheck                   2.0
Cryptomator                           Cryptomator.Cryptomator             1.5.4
CrystalDiskInfo                       CrystalDewWorld.CrystalDiskInfo     8.6.2
CrystalDiskMark                       CrystalDewWorld.CrystalDiskMark     7.0.0.0
InternetOff                           CrystalRich.InternetOff             3.0.1
LockHunter                            CrystalRich.LockHunter              3.3.4
USB Safely Remove                     CrystalRich.USBSafelyRemove         6.3.2
Zentimo                               CrystalRich.Zentimo                 2.3.2
CubicSDR                              CubicSDR.CubicSDR                   0.2.5
Dungeon Crawl Stone Soup              DCSS.DungeonCrawlStoneSoup          0.24.0
DMM Game Player                       DMM.GamePlayer                      2.5.5
DOSBox                                DOSBox.DOSBox                       0.74-3
DasKeyboard                           DasKeyboard.DasKeyboard             3.2.6
Dave Gnukem                           DavidJoffe.DaveGnukem               1.0
IPFilterUpdater                       DavidMoore.IPFilterUpdater          3.0.2.9-beta
Barrier                               DebaucheeOpenSourceGroup.Barrier    2.3.2
Debian                                Debian.Debian                       9.0
Deezer                                Deezer.Deezer                       4.19.20
Dell Update                           Dell.DellUpdate                     3.1.2
Deluge BitTorrent Client              DelugeTeam.Deluge                   1.3.15
Remote Desktop Manager                Devolutions.RemoteDesktopManager    2020.1.20.0
RemoteDesktopManagerFree              Devolutions.RemoteDesktopManager... 2020.1.20.0
Wayk Now                              Devolutions.WaykNow                 2020.1.7.0
iMazing                               DigiDNA.iMazing                     2.11.6
Dopamine                              Digimezzo.Dopamine                  2.0.1
MaxTo                                 DigitalCreations.MaxTo              2.0.1
Doxygen                               DimitriVanHeesch.Doxygen            1.8.18
Discord                               Discord.Discord                     0.0.306
Discord Canary                        Discord.DiscordCanary               0.0.266
Discord PTB                           Discord.DiscordPTB                  0.0.52
Dixa                                  Dixa.Dixa                           3.5.5
DjVuLibre DjView                      DjVuLibre.DjView                    4.11
DockStation                           DockStation.DockStation             1.5.1
Docker Desktop                        Docker.DockerDesktop                2.3.0.3.45519
Docker Desktop Edge                   Docker.DockerDesktopEdge            2.3.2.0.46268
Dolphin                               DolphinEmu.DolphinEmu               5.0
KeePass                               DominikReichl.KeePass               2.45.0.0
Dropbox                               Dropbox.Dropbox                     100.4.409
ImageGlass                            DuongDieuPhap.ImageGlass            7.0.7.26
DupeGuru                              DupeGuru.DupeGuru                   4.0.4
EditPlus                              ES-Computing.EditPlus               5.3
EVGA Precision X1                     EVGACorporation.EVGAPrecisionX1     1.0.6.0
PDFreDirect                           EXPSystems.PDFreDirect              2.5.2.0
EagleGet                              EagleGet.EagleGet                   2.1.6.70
pCon.planner Pro                      EasternGraphics.pCon.plannerPRO     8.2.3
Winlogbeat                            Elastic.Winlogbeat                  7.7.0
Electron Fiddle                       ElectronCommunity.ElectronFiddle    0.14.0
Remote Mouse                          EmoteInteractive.RemoteMouse        3.012
Empoche                               Empoche.Empoche                     0.4.3
Epic Games Launcher                   EpicGames.EpicGamesLauncher         10.15.2
Colobot: Gold Edition                 Epsitec.Colobot                     0.1.12
Planet Blupi                          Epsitec.PlanetBlupi                 1.14.2
Eraser                                Eraser.Eraser                       6.2.0.2989
Esteem                                Esteem.Esteem                       2.2.7
Terminus                              Eugeny.Terminus                     1.0.112
ExpressVPN                            ExpressVPN.ExpressVPN               7.8.7.7
Extreme Tux Racer                     ExtremeTuxRacer.ExtremeTuxRacer     0.8.0
FTBApp                                FTB.FTB                             1.0.8
Advanced IP Scanner                   Famatech.AdvancedIPScanner          2.5.3850
Far Manager                           FarManager.FarManager               3.0.0.5577
FastCopy                              FastCopy.FastCopy                   3.89
FastStone Capture                     FastStone.Capture                   9.3
FastStone Image Viewer                FastStone.Viewer                    7.5
EarTrumpet                            File-New-Project.EarTrumpet         2.1.7.3
FilesUWP                              Files-UWP.FilesUWP                  0.9.1
MailWasher Free                       Firetrust.MailWasherFree            7.12.29
MailWasher Pro                        Firetrust.MailWasherPro             7.12.29
FlightGear Flight Simulator           FlightGear.FlightGear               2018.3.5
Clash for Windows                     Fndroid.ClashForWindows             0.9.11
FontBase                              FontBase.FontBase                   2.11.3
FontForge                             FontForge.FontForge                 2020.03.14
Mailspring                            Foundry376.Mailspring               1.7.8
Katawa Shoujo                         FourLeafStudios.KatawaShoujo        1.3.1
FoxitReader                           Foxit.FoxitReader                   10.0.0.35798
PhantomPDF                            Foxit.PhantomPDF                    10.0.0.35798
WinPower                              FrancescoSorge.WinPower             0.1
FreeCAD                               FreeCAD.FreeCAD                     0.18.4
FreeCiv                               FreeCiv.FreeCiv                     2.6.2
FreeMat                               FreeMat.FreeMat                     4.2
Free Pascal Compiler                  FreePascal.FreePascalCompiler       3.0.4
GIMP                                  GIMP.GIMP                           2.10.20
GNU Emacs                             GNU.Emacs                           27.0.91
Gforth                                GNU.Gforth                          0.7.0
GNU Octave                            GNU.Octave                          5.2.0
Solfege                               GNU.Solfege                         3.23.4
GNURadio                              GNURadio.GNURadio                   3.7.13.5
GOG Galaxy                            GOG.Galaxy                          2.0.14.257
Gauge                                 Gauge.Gauge                         1.0.6
Geany                                 Geany.Geany                         1.36
GeoGebra CAS Calculator               GeoGebra.GeoGebraCASCalculator      6.0.583.0
GeoGebraClassic                       GeoGebra.GeoGebraClassic            6.0.591.0
Geometry                              GeoGebra.Geometry                   6.0.583.0
Graphing Calculator                   GeoGebra.GraphingCalculator         6.0.583.0
Gephi                                 Gephi.Gephi                         0.9.2
Caption                               GielCobben.Caption                  2.0.1
Peazip                                Giorgiotani.Peazip                  7.3.2
Git                                   Git.Git                             2.27.0
Git Extensions                        GitExtensionsTeam.GitExtensions     3.4.1
Atom                                  GitHub.Atom                         1.48.0
GitHub Desktop                        GitHub.GitHubDesktop                2.5.3
Git Large File Storage                GitHub.GitLFS                       2.11.0
GitHub CLI                            GitHub.cli                          0.10.1
Gitter IM                             Gitlab.Gitter.IM                    4.1.0
Cherrytree                            Giuspen.Cherrytree                  0.39.3
Glimpse                               Glimpse.Glimpse                     0.1.2
GnuCash                               GnuCash.GnuCash                     3.10
GnuPG                                 GnuPG.GnuPG                         2.2.20
Grep for Windows                      GnuWin32.Grep                       2.5.4
Make for Windows                      GnuWin32.Make                       3.81
Wget for Windows                      GnuWin32.Wget                       1.11.4
Zip for Windows                       GnuWin32.Zip                        3.0
Go                                    GoLang.Go                           1.14.3
GoldWave                              GoldWave.GoldWave                   6.51
GoldenDict                            GoldenDict.GoldenDict               1.0.1-1
Chrome                                Google.Chrome                       83.0.4103.116
Chrome Beta                           Google.ChromeBeta                   84.0.4147.38
Drive File Stream                     Google.DriveFileStream              38.0
Google Earth Pro                      Google.EarthPro                     7.3.3
Grafana Enterprise                    GrafanaLabs.GrafanaEnterprise       7.0.3
Grafana Open Source                   GrafanaLabs.GrafanaOSS              7.0.3
Gramps                                Gramps.Gramps                       5.1.2
GraphQL Playground                    Graphcool.GraphQLPlayground         1.8.10
Graphviz                              Graphviz.Graphviz                   2.38
Greenshot                             Greenshot.Greenshot                 1.2.10.6
MakeMKV                               GuinpinSoft.MakeMKV                 1.15.1
Free Hex Editor Neo                   HHDSoftware.FreeHexEditorNeo        6.44.01.6234
HM NIS Edit                           HMSoft.HMNISEdit                    2.0.3
HP Cloud Recovery Tool                HP.HPCloudRecoveryTool              2.5.3
Crypter                               HR.Crypter                          4.0.0
HTTPToolKit                           HTTPToolKit.HTTPToolKit             0.1.22
Bob the Hamster VGA                   HamsterRepublic.BobTheHamsterVGA    1.0
Official Hamster Republic Role Pla... HamsterRepublic.OHRRPGCE            2020.05.02.11799
HandyWinget-GUI                       HandyOrg.HandyWinget-GUI            1.3.0.1
Hedgewars                             Hedgewars.Hedgewars                 1.0.0
Link Shell Extension                  HermannSchinagl.LinkShellExtension  3.9.33
HerokuCLI                             Heroku.HerokuCLI                    7.42.1
HexChat                               HexChat.HexChat                     2.14.3
EpicBrowser                           HiddenReflex.EpicBrowser            80.0
HelpNDoc                              IBESoftware.HelpNDoc                6.9.0.577
IRCCloud                              IRCCloud.IRCCloud                   0.15.0
IZArc                                 IZArc.IZArc                         4.4
IceChat                               IceChat.IceChat                     9.22
Lunacy                                Icons8.Lunacy                       5.8
Pichon                                Icons8.Pichon                       8.7.0.0
ImageMagick                           ImageMagick.ImageMagick             7.0.10-21
HashTab                               Implbits.HashTab                    6.0.0.34
LoopEmail                             InTheLoop.LoopEmail                 5.41.0
Pingus                                IngoRuhnke.Pingus                   0.7.6
Inkscape                              Inkscape.Inkscape                   1.0.0
Nmap                                  Insecure.Nmap                       7.80
Insomnia                              Insomnia.Insomnia                   7.1.1.0
InsomniaDesigner                      Insomnia.InsomniaDesigner           2020.2.0
ExtremeTuningUtility                  Intel.ExtremeTuningUtility          6.5.1.360
Intel┬« Driver & Support Assistant    Intel.IntelDriverandSupportAssis... 20.6.22.6
Iometer                               Intel.Iometer                       1.1.0
IrfanView                             IrfanSkiljan.IrfanView              4.54
IsWiX                                 IsWiX.IsWiX                         4.14.5
Cyberduck                             Iterate.Cyberduck                   7.4.0
HeavyLoad                             JAMSoftware.HeavyLoad               3.6.0
TreeSize Professional Trial           JAMSoftware.TreeSize                7.1.5
